nombre,calle,altura,calle_2,piso,telefono,observaciones,direccion_normalizada,long,lat,barrio,comuna,codigo_postal,codigo_postal_argentino
ALFONSINA STORNI,VENEZUELA,1538,,1,4381-9345,,REPUBLICA BOLIVARIANA DE VENEZUELA 1538,-58.38814023,-34.61471615,MONSERRAT,COMUNA 1,1095,C1095ABF
ALVARO YUNQUE,SOLDADO DE LA FRONTERA,5210,,BLOCK 28,4605-0603,,SOLDADO DE LA FRONTERA AV. 5210,-58.46355244,-34.68500227,VILLA LUGANO,COMUNA 8,1439,C1439FPH
ANTONIO DEVOTO,BAHIA BLANCA,4025,,,4501-4320,,BAHIA BLANCA 4025,-58.51089426,-34.59931264,VILLA DEVOTO,COMUNA 11,1419,C1419BAI
BALDOMERO F. MORENO,CONCEPCION ARENAL,4206,,,4855-7508,,"ARENAL, CONCEPCION 4206",-58.45036314,-34.59135317,CHACARITA,COMUNA 15,1427,C1427EKR
BENITO LYNCH,PJE. YRUPE,6714,,,4687-1977,,YRUPE 6714,-58.49687189,-34.66767394,MATADEROS,COMUNA 9,1440,C1440BND
CARLOS GUIDO Y SPANO,GÜEMES,4601,,,4773-5862,,GUEMES 4601,-58.4238742,-34.58134893,PALERMO,COMUNA 14,1425,C1425BLI
CIRCE,AV. CORDOBA,1558,,,4812-4723,,CORDOBA AV. 1558,-58.38913737,-34.59948861,SAN NICOLAS,COMUNA 1,1055,C1055AAS
CNGO. LUIS CHORROARIN,SOLDADO DE LA FRONTERA,5059,,BLOCK 23,4605-9341,CERRADA POR REPARACIONES,SOLDADO DE LA FRONTERA AV. 5059,-58.46510887,-34.68379956,VILLA LUGANO,COMUNA 8,1439,C1439FPC
CORNELIO SAAVEDRA,CRISOLOGO LARRALDE,6293,,,4571-2538,,"LARRALDE, CRISOLOGO AV. 6293",-58.50724152,-34.56872052,SAAVEDRA,COMUNA 12,1431,C1431AQE
ENRIQUE BANCHS,CASEROS,,URQUIZA,,4943-1078,,"CASEROS AV. Y URQUIZA, GRAL.",-58.40755681,-34.63745675,PARQUE PATRICIOS,COMUNA 4,,
ESTANISLAO DEL CAMPO,PJE. DE LAS ARTES,1210,,,4926-0161,,DE LAS ARTES 1210,-58.4383377,-34.63405164,PARQUE CHACABUCO,COMUNA 7,1424,C1424BCH
EVARISTO CARRIEGO,HONDURAS,3784,,,4963-2194,CERRADA POR REPARACIONES,HONDURAS AV. 3784,-58.41611355,-34.59414261,PALERMO,COMUNA 14,1180,C1180ACB
HILARIO ASCASUBI,GRAL. CESAR DIAZ,4219,,,4566-5171,,"DIAZ, CESAR, GRAL. 4219",-58.49222268,-34.62333665,FLORESTA,COMUNA 10,1407,C1407ETS
JAVIER VILLAFAÑE,ANA M. JANER,262,,MANZANA 5 - LOCAL 279,4919-0058,,"JANER, ANA MARIA",-58.435694,-34.647048,FLORES,COMUNA 7,,
JOAQUIN V GONZALEZ,SUAREZ,408,,,4302-2481,,SUAREZ 408,-58.35903829,-34.63541964,BOCA,COMUNA 4,1162,C1162AEJ
JOSE HERNANDEZ,BOQUERON,6753,,,4641-3673,,BOQUERON 6753,-58.52096278,-34.64636248,LINIERS,COMUNA 9,1408,C1408EHA
JOSE MARMOL,JURAMENTO,2937,,,4781-7871,,JURAMENTO 2937,-58.46168695,-34.5649432,BELGRANO,COMUNA 13,1428,C1428DNY
JULIO C. SAGUIER,AV. DELLEPIANE NORTE,4801,,TORRE 14 - PB,4635-4009,,"DELLEPIANE, LUIS, TTE. GRAL. 4801",-58.47450038,-34.66598172,VILLA LUGANO,COMUNA 8,,
JULIO CORTAZAR,LAVALLEJA,924,,1,5197-5084,,LAVALLEJA 924,-58.42980236,-34.59788545,VILLA CRESPO,COMUNA 15,1414,C1414DTT
LA PRENSA,PEPIRI,,J. C. PAZ,,4912-2701,PLAZA NICARAGUA,"PEPIRI Y PAZ, JOSE C.",-58.40971423,-34.64504439,PARQUE PATRICIOS,COMUNA 4,,
LEOPOLDO LUGONES,LA PAMPA,2215,,,4783-1567,,LA PAMPA 2215,-58.45259477,-34.56383684,BELGRANO,COMUNA 13,1428,C1428EAM
MANUEL GALVEZ,AV. CORDOBA,1558,,,4812-4723,,CORDOBA AV. 1558,-58.38913737,-34.59948861,SAN NICOLAS,COMUNA 1,1055,C1055AAS
MARIANO PELLIZA,PJE. CRANWELL,819,,,4631-0961,,CRANWELL 819,-58.45644862,-34.63780971,FLORES,COMUNA 7,1406,C1406EBG
MARTIN DEL BARCO CENTENERA,VENEZUELA,1538,,,4381-1271,,REPUBLICA BOLIVARIANA DE VENEZUELA 1538,-58.38814023,-34.61471615,MONSERRAT,COMUNA 1,1095,C1095ABF
MIGUEL CANE,CARLOS CALVO,4319,,,4922-0020,,"CALVO, CARLOS AV. 4319",-58.42634721,-34.62500985,BOEDO,COMUNA 5,1230,C1230ABY
NORA LANGE,AV. FRANCISCO F. DE LA CRUZ,,ESCALADA,,,INTERIOR DEL PARQUE DE LA CIUDAD,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. Y ESCALADA AV.",-58.4590036,-34.67375025,VILLA LUGANO,COMUNA 8,,
RAFAEL OBLIGADO,PJE. CRAINQUEVILLE,2233,,,4581-8640,,CRAINQUEVILLE 2233,-58.48392036,-34.60957834,VILLA SANTA RITA,COMUNA 11,1416,C1416AVC
REINA BATATA,LA PAMPA,,11 DE SEPTIEMBRE,,4783-3648,PLAZA BARRANCAS,LA PAMPA Y 11 DE SEPTIEMBRE DE 1888,-58.44872118,-34.56159884,BELGRANO,COMUNA 13,,
RICARDO GÜIRALDES,TALCAHUANO,1261,,,4812-3118,,TALCAHUANO 1261,-58.38594652,-34.59363838,RETIRO,COMUNA 1,1014,C1014ADA
MAFALDA,CALLE COMERCIAL,SECTOR PLAYON ESTE,BAJO AU FRENTE A MANZANA 2,,,VILLA 31,,-58.37949,-34.58452,RETIRO,COMUNA 1,1104,
